"Date","Time","Expectancy","Value","Tracking","Planning","Effort","Focus","Help","Environment","Organising","Motivation","Anxiety","Enjoyment","Feedback","Metacognition","Exercise_last_2h","Avg_heartrate_last_2h","Stepcount_last_2h"
91,"12:10",6,7,8,9,8,7,7,8,5,7,6,8,8,5,10,87.2176324324324,3281
92,"10:17",8,9,8,8,8,7,6,6,7,10,2,10,7,6,5,48.05,0
93,"13:31",8,9,8,8,7,7,8,10,7,9,3,9,8,4,37,101.554913294798,4525
94,"12:05",7,9,7,8,7,8,6,8,6,9,7,9,8,4,16,92.0471236842105,2703
94,"16:39",7,7,8,6,8,7,7,8,7,8,2,8,4,4,0,70.9284125,156
95,"13:30",6,8,8,9,8,8,7,9,7,8,7,7,10,4,0,64,331
95,"15:29",7,8,8,9,8,8,8,9,7,9,3,9,10,5,3,80.1428333333333,2199
96,"11:49",8,9,8,9,8,9,7,7,7,10,2,9,9,5,11,93.5273913793103,3735
96,"14:15",8,9,9,10,7,7,5,5,6,9,3,8,8,5,36,90.8608695652174,3781
97,"16:08",7,9,8,8,7,8,7,8,6,9,3,8,10,4,0,63.6153846153846,573
98,"10:00",9,10,10,10,10,10,7,8,7,10,4,9,10,7,12,77.0454545454545,3081
98,"12:09",8,10,9,9,8,7,7,7,7,10,4,9,10,7,0,57.790736,454
98,"14:17",10,10,9,9,9,7,8,8,8,10,2,9,9,8,7,68.7142857142857,1871
98,"16:12",8,10,9,10,10,6,7,7,8,10,2,9,7,9,0,61.6661714285714,278
98,"17:50",8,10,8,9,10,5,6,6,7,10,5,9,9,9,0,62.3478260869565,198
99,"09:40",7,5,6,8,8,8,6,4,5,7,5,6,8,5,0,43.9130434782609,8
103,"12:56",7,8,6,5,6,5,5,8,5,7,6,6,3,4,0,42.9583333333333,29
103,"15:01",6,7,5,7,8,5,5,7,6,4,7,6,2,4,12,87.980128,4021
104,"12:01",7,8,7,8,8,6,5,7,7,9,4,9,8,5,18,83.9440033519553,6170
104,"15:46",8,10,7,10,8,5,7,9,8,10,2,10,10,6,12,158.794871794872,2975
105,"15:33",8,10,8,9,10,9,6,10,8,10,3,10,10,6,3,61.4395217391304,2108
106,"10:23",8,9,5,6,7,7,5,6,6,9,5,7,9,3,0,50.6521739130435,8
106,"14:29",7,8,6,6,5,4,6,5,7,8,2,9,9,7,32,129.803149606299,4903
108,"12:10",8,10,9,10,6,5,6,8,7,8,3,9,9,8,0,57.8858869565217,808
108,"14:00",8,10,9,10,9,9,4,8,8,10,2,9,8,9,44,81.4811320754717,3966
109,"13:49",7,8,6,9,7,6,6,8,5,8,8,5,7,4,0,66.9166666666667,285
110,"10:25",8,9,8,10,9,7,7,8,7,9,8,9,10,7,7,83.825,3132
110,"15:14",9,10,8,10,8,9,6,8,6,10,2,9,10,4,2,72.6875,1193
111,"14:14",8,10,8,10,7,8,9,9,5,10,4,8,10,4,10,81.6797111111111,4136
111,"16:21",8,9,8,8,8,6,8,9,7,9,3,7,10,5,4,81.2,1633
112,"11:53",7,10,7,8,7,4,6,7,7,9,3,9,10,4,11,76.830985915493,4551
112,"13:28",8,10,8,9,9,5,6,8,7,9,4,8,9,5,0,71.0471392857143,909
112,"16:00",8,7,8,9,8,7,6,8,8,9,4,5,10,5,2,66.2916666666667,842
115,"13:48",8,10,7,8,8,8,7,10,8,9,3,8,10,4,0,62.8615416666667,156
115,"15:27",8,10,8,9,10,8,8,10,7,9,2,8,10,5,2,70.96875,1875
116,"16:10",8,10,7,10,8,9,7,8,9,10,6,8,10,4,4,81.8333333333333,1086
116,"17:47",7,10,8,8,9,7,8,8,7,9,5,8,10,4,12,83.1777777777778,3137
117,"14:33",8,9,7,9,7,6,5,6,6,9,4,10,10,4,25,96.0344202898551,4453
118,"10:28",9,9,6,7,8,7,6,4,6,9,4,9,4,6,0,44.0740740740741,98
118,"13:48",7,8,5,5,7,5,5,4,5,7,6,8,7,5,0,68.7916666666667,404
118,"16:13",7,9,8,7,7,6,7,4,5,8,5,7,8,4,3,70.6086956521739,1336
119,"13:07",8,10,9,10,9,7,5,8,6,8,5,7,7,5,0,71.963964,903
119,"14:59",8,9,9,10,8,6,5,10,7,10,2,7,9,6,2,77.8269230769231,2395
119,"16:46",7,9,8,9,9,5,6,10,7,10,2,9,7,9,3,67.7558677419355,1726
122,"11:44",9,9,8,9,8,7,7,9,8,10,3,8,8,4,13,77.5641025641026,3502
122,"14:10",9,10,9,9,8,8,5,7,8,8,4,8,9,8,36,110.130769230769,5308
